year,sex,age,mx,qx,lx,dx,Lx,Tx,ex,causa
2019,f,50,0.00764430395753836,0.0375047750370854,90283.593654763,3386.06586956153,442952.803599911,2251496.2699778,24.9380444312765,sin_homicidios
2019,f,55,0.0120194405442497,0.0583440457487773,86897.5277852015,5069.95333655544,421812.755584619,1808543.46637788,20.8123696090452,sin_homicidios
2019,f,60,0.0213434814563507,0.101311554091584,81827.574448646,8290.07873493714,388412.675405887,1386730.71079327,16.9469854158217,sin_homicidios
2019,f,65,0.0312999173579454,0.145142236751086,73537.4957137089,10673.3966129611,341003.987036142,998318.035387379,13.5756327530375,sin_homicidios
2019,f,70,0.0527634188439147,0.233072799823982,62864.0991007478,14651.9115858235,277690.71653918,657314.048351238,10.4561117991655,sin_homicidios
2019,f,75,0.0776226069515241,0.32503740745003,48212.1875149242,15670.7644373457,201884.026481257,379623.331812058,7.87401176713967,sin_homicidios
2019,f,80,0.142378577099471,0.525015489589881,32541.4230775785,17084.7511690263,119995.237465327,177739.305330801,5.46194015261937,sin_homicidios
2019,f,85,0.267675494295995,1,15456.6719085522,15456.6719085522,57744.0678654739,57744.0678654739,3.73586682871389,sin_homicidios
2021,f,0,0.016315106513419,0.0160786681814844,1e+05,1607.86681814844,98550.8011747264,6735307.94448822,67.3530794448822,sin_homicidios
2021,f,1,0.000951530305893832,0.00379707864022093,98392.1331818516,373.602667270578,392633.492550333,6636757.1433135,67.4521115529351,sin_homicidios
2021,f,5,0.000194293598117077,0.00097099634465148,98018.530514581,95.1756348377821,489854.713485811,6244123.65076316,63.7035019601146,sin_homicidios
2021,f,10,0.000489985777197327,0.00244693148192683,97923.3548797432,239.611739871136,489017.745049038,5754268.93727735,58.7629880976198,sin_homicidios
2021,f,15,0.00080216145608407,0.00400278009065559,97683.7431398721,391.006542220988,487441.199343808,5265251.19222831,53.9009974739509,sin_homicidios
2021,f,20,0.0010744107193172,0.00535766277080738,97292.7365976511,521.261672739202,485160.528806407,4777809.99288451,49.1075712326079,sin_homicidios
2021,f,25,0.001459537874765,0.007271158047416,96771.4749249119,703.640688660598,482098.272902908,4292649.4640781,44.3586239375694,sin_homicidios
